Timestamp,Detection Status,Number of Circles
2025-03-13 08:47:24.142244,Missed,0
2025-03-13 08:47:24.406336,Missed,0
2025-03-13 08:47:24.630287,Detected,1
2025-03-13 08:47:24.875154,Detected,1
2025-03-13 08:47:25.133825,Missed,0
2025-03-13 08:47:25.369392,Missed,0
2025-03-13 08:47:25.606750,Detected,2
2025-03-13 08:47:25.875241,Missed,0
2025-03-13 08:47:26.136572,Detected,1
2025-03-13 08:47:26.422957,Missed,0
2025-03-13 08:47:26.706888,Detected,1
2025-03-13 08:47:26.973195,Missed,0
2025-03-13 08:47:27.193556,Detected,1
2025-03-13 08:47:27.437319,Missed,0
2025-03-13 08:47:27.669395,Detected,1
2025-03-13 08:47:27.912953,Detected,1
2025-03-13 08:47:28.170097,Detected,2
2025-03-13 08:47:28.403607,Detected,1
2025-03-13 08:47:28.638469,Missed,0
2025-03-13 08:47:28.869961,Missed,0
2025-03-13 08:47:29.096037,Missed,0
2025-03-13 08:47:29.335564,Missed,0
2025-03-13 08:47:29.567743,Missed,0
2025-03-13 08:47:29.805093,Missed,0
2025-03-13 08:47:30.036865,Missed,0
2025-03-13 08:47:30.270330,Missed,0
2025-03-13 08:47:30.538143,Detected,1
2025-03-13 08:47:30.802414,Missed,0
2025-03-13 08:47:31.037085,Missed,0
2025-03-13 08:47:31.287533,Detected,1
2025-03-13 08:47:31.522820,Detected,1
2025-03-13 08:47:31.959108,Missed,0
2025-03-13 08:47:32.267282,Missed,0
2025-03-13 08:47:32.489583,Detected,1
2025-03-13 08:47:32.736190,Detected,1
2025-03-13 08:47:32.979994,Missed,0
2025-03-13 08:47:33.249276,Missed,0
2025-03-13 08:47:33.499974,Detected,1
2025-03-13 08:47:33.732013,Missed,0
2025-03-13 08:47:33.961758,Missed,0
2025-03-13 08:47:34.201745,Missed,0
2025-03-13 08:47:34.434910,Missed,0
2025-03-13 08:47:34.665721,Detected,1
2025-03-13 08:47:34.898484,Missed,0
2025-03-13 08:47:35.131582,Detected,1
2025-03-13 08:47:35.366987,Detected,1
2025-03-13 08:47:35.601642,Missed,0
2025-03-13 08:47:35.833297,Missed,0
2025-03-13 08:47:36.066877,Detected,1
2025-03-13 08:47:36.300829,Detected,1
2025-03-13 08:47:36.540165,Missed,0
2025-03-13 08:47:36.884876,Missed,0
2025-03-13 08:47:37.143354,Detected,1
2025-03-13 08:47:37.398616,Missed,0
2025-03-13 08:47:37.635090,Missed,0
2025-03-13 08:47:37.865251,Missed,0
2025-03-13 08:47:38.091711,Missed,0
2025-03-13 08:47:38.334818,Detected,1
2025-03-13 08:47:38.595183,Missed,0
2025-03-13 08:47:38.833102,Missed,0
2025-03-13 08:47:39.067301,Detected,1
2025-03-13 08:47:39.299613,Missed,0
2025-03-13 08:47:39.535449,Missed,0
2025-03-13 08:47:39.798044,Detected,1
2025-03-13 08:47:40.043784,Missed,0
2025-03-13 08:47:40.296992,Missed,0
2025-03-13 08:47:40.533482,Detected,1
2025-03-13 08:47:40.765128,Detected,1
2025-03-13 08:47:41.034154,Detected,2
2025-03-13 08:47:41.282880,Detected,1
2025-03-13 08:47:41.521686,Detected,1
2025-03-13 08:47:41.768182,Detected,1
2025-03-13 08:47:42.033872,Detected,1
2025-03-13 08:47:42.299455,Missed,0
2025-03-13 08:47:42.595953,Detected,1
2025-03-13 08:47:42.871243,Missed,0
2025-03-13 08:47:43.130890,Detected,2
2025-03-13 08:47:43.348127,Detected,1
2025-03-13 08:47:43.590569,Missed,0
2025-03-13 08:47:43.832143,Detected,1
2025-03-13 08:47:44.097050,Detected,1
2025-03-13 08:47:44.325632,Missed,0
2025-03-13 08:47:44.555395,Detected,1
2025-03-13 08:47:44.792485,Missed,0
2025-03-13 08:47:45.030531,Detected,1
2025-03-13 08:47:45.262855,Missed,0
2025-03-13 08:47:45.495605,Detected,1
2025-03-13 08:47:45.728040,Detected,1
2025-03-13 08:47:45.961924,Missed,0
2025-03-13 08:47:46.197011,Detected,1
2025-03-13 08:47:46.442351,Detected,1
2025-03-13 08:47:46.710283,Missed,0
2025-03-13 08:47:46.961450,Detected,1
2025-03-13 08:47:47.230888,Detected,1
2025-03-13 08:47:47.459080,Missed,0
2025-03-13 08:47:47.692208,Missed,0
2025-03-13 08:47:47.928670,Missed,0
2025-03-13 08:47:48.160842,Detected,1
2025-03-13 08:47:48.396402,Missed,0
2025-03-13 08:47:48.630023,Missed,0
2025-03-13 08:47:48.862216,Missed,0
2025-03-13 08:47:49.128802,Missed,0
2025-03-13 08:47:49.361933,Detected,2
2025-03-13 08:47:49.589971,Detected,2
2025-03-13 08:47:49.825542,Detected,1
2025-03-13 08:47:50.062341,Detected,1
2025-03-13 08:47:50.325884,Detected,1
2025-03-13 08:47:50.566338,Missed,0
2025-03-13 08:47:50.918701,Missed,0
2025-03-13 08:47:51.217203,Missed,0
